months_as_customer,age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,T1GR01,T1GR02,T1GR03,T1GR04,T1GR05,T1GR06,T1GR07,T1GR08,T1GR09,T1GR10,T1GR11,T1GR12,T1GR13,T1GR14,T2GR01,T2GR02,T2GR03,T2GR04,T2GR05,T2GR06,T2GR07,T2GR08,T2GR09,T2GR10,PLGR01,PLGR02,PLGR03,PLGR04,PLGR05,PLGR06,PLGR07,PLGR08,PLGR09,PLGR10
160,37,FEMALE,MD,craft-repair,yachting,other-relative,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,19,1,YES,1,0,NO,72930,6630,13260,53040,Accura,2015,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196,39,FEMALE,High School,handlers-cleaners,camping,own-child,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,?,2,0,NO,60400,6040,6040,48320,Nissan,2014,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
460,62,MALE,JD,other-service,bungie-jumping,own-child,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,20,3,NO,1,0,?,47160,0,5240,41920,Suburu,2011,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
217,41,FEMALE,Associate,machine-op-inspct,skydiving,own-child,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,?,1,2,?,37840,0,4730,33110,Accura,1996,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
370,55,MALE,High School,prof-specialty,paintball,other-relative,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,NO,0,0,YES,71520,17880,5960,47680,Suburu,2000,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
413,55,MALE,MD,priv-house-serv,chess,own-child,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,?,2,2,?,98160,8180,16360,73620,Dodge,2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
237,40,MALE,College,craft-repair,kayaking,husband,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,NO,1,3,NO,77880,7080,14160,56640,Ford,2005,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
8,35,MALE,Masters,sales,polo,own-child,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,3,NO,1,3,YES,71500,16500,11000,44000,Ford,2006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
257,43,MALE,High School,prof-specialty,golf,own-child,2015-01-28,Parked Car,?,Minor Damage,Police,4,1,YES,1,3,YES,9020,1640,820,6560,Toyota,2005,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
202,34,MALE,JD,exec-managerial,chess,not-in-family,2015-01-07,Vehicle Theft,?,Minor Damage,,5,1,YES,2,1,?,5720,1040,520,4160,Suburu,2003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
224,40,FEMALE,JD,sales,kayaking,not-in-family,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,21,1,NO,1,0,YES,69840,7760,15520,46560,Dodge,2009,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
241,45,FEMALE,PhD,machine-op-inspct,basketball,unmarried,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,1,NO,2,2,NO,91650,14100,14100,63450,Accura,2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
64,25,MALE,Masters,prof-specialty,video-games,husband,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,NO,0,0,?,75600,12600,12600,50400,Toyota,2005,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,37,MALE,JD,craft-repair,reading,husband,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,NO,2,2,?,67140,7460,7460,52220,Ford,2006,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
155,35,FEMALE,Associate,adm-clerical,yachting,other-relative,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,2008,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
114,30,MALE,High School,farming-fishing,video-games,wife,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,3,NO,1,2,?,77110,14020,14020,49070,Suburu,2015,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,37,MALE,PhD,prof-specialty,yachting,own-child,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,17,1,YES,0,1,YES,64800,10800,5400,48600,Audi,1999,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,33,MALE,High School,craft-repair,reading,not-in-family,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,YES,2,0,YES,53100,10620,5310,37170,Mercedes,1995,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
62,28,FEMALE,Masters,protective-serv,camping,unmarried,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,?,1,1,YES,60200,6020,6020,48160,Suburu,2004,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
289,49,FEMALE,JD,priv-house-serv,golf,unmarried,2015-01-18,Parked Car,?,Minor Damage,,16,1,NO,1,1,YES,5330,1230,820,3280,Suburu,2001,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
431,54,FEMALE,MD,craft-repair,bungie-jumping,unmarried,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,3,?,2,0,?,62300,12460,6230,43610,Jeep,2007,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
199,37,MALE,JD,tech-support,video-games,wife,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,4,1,?,0,3,NO,60170,10940,10940,38290,Nissan,2011,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,26,MALE,Associate,tech-support,kayaking,not-in-family,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,NO,2,2,?,40000,8000,4000,28000,BMW,2010,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
116,34,MALE,Associate,transport-moving,chess,unmarried,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,1,1,?,1,1,?,97080,16180,16180,64720,BMW,2001,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
37,23,FEMALE,College,prof-specialty,hiking,husband,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,2010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
106,30,FEMALE,PhD,transport-moving,reading,own-child,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,23,1,NO,2,2,NO,51120,5680,5680,39760,Mercedes,2005,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
269,44,MALE,JD,priv-house-serv,reading,unmarried,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,14,1,YES,0,2,?,56400,11280,11280,33840,Toyota,2014,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
265,40,FEMALE,MD,protective-serv,yachting,husband,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,NO,2,3,?,55120,6890,0,48230,Accura,2002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,33,FEMALE,Associate,other-service,polo,husband,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,YES,1,1,?,77110,0,14020,63090,Honda,2014,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
355,47,MALE,College,other-service,kayaking,husband,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,NO,2,1,NO,62800,6280,6280,50240,Audi,2003,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,34,FEMALE,PhD,protective-serv,dancing,other-relative,2015-02-26,Vehicle Theft,?,Trivial Damage,Police,5,1,?,2,0,YES,7290,810,810,5670,Volkswagen,1995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
192,35,FEMALE,Masters,exec-managerial,movies,wife,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,19,1,NO,0,0,?,76600,15320,7660,53620,Mercedes,2000,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
430,59,MALE,MD,other-service,bungie-jumping,own-child,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,?,0,3,YES,81800,16360,8180,57260,Nissan,1998,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1
91,27,FEMALE,JD,farming-fishing,polo,husband,2015-01-17,Vehicle Theft,?,Trivial Damage,,4,1,?,1,2,?,7260,1320,660,5280,BMW,2008,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
217,39,MALE,College,armed-forces,basketball,not-in-family,2015-02-22,Vehicle Theft,?,Minor Damage,,8,1,?,2,1,YES,4300,430,430,3440,Toyota,2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
223,40,FEMALE,JD,priv-house-serv,movies,husband,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,7,3,YES,1,0,?,70510,12820,12820,44870,Suburu,1999,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
195,39,MALE,PhD,machine-op-inspct,movies,not-in-family,2015-02-27,Parked Car,?,Minor Damage,Police,5,1,NO,0,1,YES,2640,480,480,1680,Ford,2009,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
22,26,MALE,PhD,craft-repair,skydiving,not-in-family,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,YES,1,2,NO,78900,15780,7890,55230,Chevrolet,1995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
439,56,FEMALE,PhD,prof-specialty,chess,unmarried,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,?,2,3,?,56430,0,6270,50160,Honda,2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
94,32,FEMALE,Masters,adm-clerical,hiking,own-child,2015-02-22,Parked Car,?,Minor Damage,,19,1,NO,1,3,NO,2400,300,300,1800,Chevrolet,2014,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
11,39,MALE,PhD,other-service,yachting,husband,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,YES,0,1,NO,65790,7310,7310,51170,Saab,2007,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1
151,36,FEMALE,MD,adm-clerical,kayaking,own-child,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,12,3,NO,1,1,NO,62920,11440,5720,45760,Ford,2000,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
154,34,MALE,PhD,machine-op-inspct,base-jumping,other-relative,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,?,69480,15440,0,54040,Nissan,2014,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245,44,MALE,JD,handlers-cleaners,basketball,husband,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,NO,0,3,NO,44280,7380,3690,33210,Honda,1997,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
119,32,MALE,High School,armed-forces,bungie-jumping,unmarried,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,2011,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
215,42,MALE,JD,transport-moving,video-games,own-child,2015-02-06,Multi-vehicle Collision,Front Collision,Major Damage,Fire,20,3,YES,2,2,YES,68520,11420,5710,51390,Suburu,2003,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
295,42,MALE,PhD,sales,chess,not-in-family,2015-01-20,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,16,3,NO,0,0,NO,59130,6570,6570,45990,Ford,2006,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
254,39,FEMALE,MD,exec-managerial,chess,other-relative,2015-02-22,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,6,3,YES,2,2,NO,82320,13720,6860,61740,Dodge,1995,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
107,31,FEMALE,High School,tech-support,paintball,not-in-family,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,YES,0,1,NO,89700,13800,13800,62100,Audi,2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
478,64,FEMALE,Associate,adm-clerical,reading,unmarried,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,1998,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
128,30,MALE,MD,machine-op-inspct,movies,own-child,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,NO,0,3,NO,68530,12460,6230,49840,Audi,1997,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
338,49,MALE,MD,other-service,kayaking,own-child,2015-02-27,Parked Car,?,Minor Damage,,13,1,NO,0,1,?,4300,860,860,2580,Ford,2004,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
271,42,FEMALE,Associate,prof-specialty,sleeping,own-child,2015-02-20,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,2,?,2,3,?,68310,12420,6210,49680,Audi,2003,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
222,41,FEMALE,MD,armed-forces,cross-fit,not-in-family,2015-02-08,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,NO,0,2,NO,61290,6810,6810,47670,Honda,1995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
199,41,FEMALE,Associate,sales,paintball,husband,2015-02-11,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,NO,1,2,NO,30100,3010,0,27090,Chevrolet,1999,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1
215,37,FEMALE,College,transport-moving,golf,not-in-family,2015-02-23,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7,3,NO,2,0,YES,57120,9520,4760,42840,Mercedes,2002,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
192,40,FEMALE,Associate,sales,yachting,wife,2015-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,3,YES,1,0,YES,42930,9540,4770,28620,BMW,2005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
120,35,FEMALE,High School,transport-moving,bungie-jumping,other-relative,2015-01-15,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,NO,2,0,NO,51210,11380,5690,34140,Ford,2010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
270,45,FEMALE,College,handlers-cleaners,golf,husband,2015-01-14,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,3,NO,1,1,YES,89400,14900,7450,67050,Suburu,1998,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
319,47,MALE,College,transport-moving,dancing,not-in-family,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,NO,0,2,?,59730,10860,10860,38010,Audi,2005,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
194,39,FEMALE,JD,other-service,kayaking,wife,2015-01-24,Vehicle Theft,?,Minor Damage,,15,1,YES,2,2,YES,8060,1240,1240,5580,Saab,2004,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
227,38,FEMALE,PhD,handlers-cleaners,polo,unmarried,2015-01-21,Single Vehicle Collision,Rear Collision,Major Damage,Fire,16,1,?,1,2,?,72200,14440,7220,50540,BMW,2013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1
137,31,MALE,High School,exec-managerial,paintball,husband,2015-02-19,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,NO,1,2,NO,50800,10160,10160,30480,Accura,2005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
244,40,FEMALE,Masters,exec-managerial,video-games,wife,2015-01-03,Vehicle Theft,?,Trivial Damage,,10,1,?,2,1,?,6600,660,1320,4620,Accura,2005,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
